Id,Time,Value
2347167796,3/29/2016 6:48:40 PM,78
2347167796,3/29/2016 6:48:55 PM,78
2347167796,3/29/2016 6:49:10 PM,78
2347167796,3/29/2016 6:49:25 PM,77
2347167796,3/29/2016 6:49:30 PM,76
2347167796,3/29/2016 6:49:45 PM,77
2347167796,3/29/2016 6:49:50 PM,78
2347167796,3/29/2016 6:50:05 PM,78
2347167796,3/29/2016 6:50:10 PM,80
2347167796,3/29/2016 6:50:15 PM,81
2347167796,3/29/2016 6:50:20 PM,81
2347167796,3/29/2016 6:50:25 PM,81
2347167796,3/29/2016 6:50:40 PM,80
2347167796,3/29/2016 6:50:55 PM,80
2347167796,3/29/2016 6:51:00 PM,83
2347167796,3/29/2016 6:51:10 PM,82
2347167796,3/29/2016 6:51:25 PM,81
2347167796,3/29/2016 6:51:40 PM,79
2347167796,3/29/2016 6:51:45 PM,77
2347167796,3/29/2016 6:51:50 PM,76
2347167796,3/29/2016 6:52:05 PM,76
2347167796,3/29/2016 6:52:10 PM,77
2347167796,3/29/2016 6:52:15 PM,76
2347167796,3/29/2016 6:52:20 PM,76
2347167796,3/29/2016 6:52:35 PM,77
2347167796,3/29/2016 6:52:50 PM,76
2347167796,3/29/2016 6:53:00 PM,73
2347167796,3/29/2016 6:53:10 PM,72
2347167796,3/29/2016 6:53:20 PM,70
2347167796,3/29/2016 6:53:30 PM,72
2347167796,3/29/2016 6:53:40 PM,69
2347167796,3/29/2016 6:53:50 PM,68
2347167796,3/29/2016 6:54:00 PM,67
2347167796,3/29/2016 6:54:15 PM,68
2347167796,3/29/2016 6:54:30 PM,68
2347167796,3/29/2016 6:54:35 PM,67
2347167796,3/29/2016 6:54:40 PM,66
2347167796,3/29/2016 6:54:50 PM,64
2347167796,3/29/2016 6:54:55 PM,63
2347167796,3/29/2016 6:55:10 PM,64
2347167796,3/29/2016 6:55:20 PM,70
2347167796,3/29/2016 6:55:25 PM,71
2347167796,3/29/2016 6:55:40 PM,71
2347167796,3/29/2016 6:55:55 PM,71
2347167796,3/29/2016 6:56:10 PM,71
2347167796,3/29/2016 6:56:25 PM,71
2347167796,3/29/2016 6:56:40 PM,71
2347167796,3/29/2016 6:56:55 PM,71
2347167796,3/29/2016 6:57:00 PM,71
2347167796,3/29/2016 6:57:15 PM,71
2347167796,3/29/2016 6:57:30 PM,72
2347167796,3/29/2016 6:57:40 PM,71
2347167796,3/29/2016 6:57:55 PM,71
2347167796,3/29/2016 6:58:00 PM,73
2347167796,3/29/2016 6:58:05 PM,74
2347167796,3/29/2016 6:58:10 PM,76
2347167796,3/29/2016 6:58:15 PM,77
2347167796,3/29/2016 6:58:20 PM,76
2347167796,3/29/2016 6:58:25 PM,76
2347167796,3/29/2016 6:58:30 PM,81
2347167796,3/29/2016 6:58:35 PM,82
2347167796,3/29/2016 6:58:40 PM,82
2347167796,3/29/2016 6:58:55 PM,81
2347167796,3/29/2016 6:59:10 PM,81
2347167796,3/29/2016 6:59:25 PM,81
2347167796,3/29/2016 6:59:35 PM,79
2347167796,3/29/2016 6:59:50 PM,80
2347167796,3/29/2016 6:59:55 PM,79
2347167796,3/29/2016 7:00:10 PM,79
2347167796,3/29/2016 7:00:25 PM,82
2347167796,3/29/2016 7:00:40 PM,80
2347167796,3/29/2016 7:00:55 PM,80
2347167796,3/29/2016 7:01:00 PM,78
2347167796,3/29/2016 7:01:15 PM,78
2347167796,3/29/2016 7:01:20 PM,76
2347167796,3/29/2016 7:01:25 PM,76
2347167796,3/29/2016 7:01:30 PM,72
2347167796,3/29/2016 7:01:35 PM,71
2347167796,3/29/2016 7:01:50 PM,71
2347167796,3/29/2016 7:02:05 PM,71
2347167796,3/29/2016 7:02:20 PM,71
2347167796,3/29/2016 7:02:30 PM,69
2347167796,3/29/2016 7:02:40 PM,68
2347167796,3/29/2016 7:02:45 PM,67
2347167796,3/29/2016 7:03:00 PM,68
2347167796,3/29/2016 7:03:10 PM,68
2347167796,3/29/2016 7:03:15 PM,67
2347167796,3/29/2016 7:03:30 PM,67
2347167796,3/29/2016 7:03:45 PM,67
2347167796,3/29/2016 7:03:50 PM,66
2347167796,3/29/2016 7:04:05 PM,66
2347167796,3/29/2016 7:04:10 PM,67
2347167796,3/29/2016 7:04:20 PM,68
2347167796,3/29/2016 7:04:25 PM,69
2347167796,3/29/2016 7:04:35 PM,68
2347167796,3/29/2016 7:04:50 PM,68
2347167796,3/29/2016 7:05:05 PM,67
2347167796,3/29/2016 7:05:20 PM,69
2347167796,3/29/2016 7:05:30 PM,71
2347167796,3/29/2016 7:05:45 PM,71
2347167796,3/29/2016 7:06:00 PM,71
2347167796,3/29/2016 7:06:10 PM,69
2347167796,3/29/2016 7:06:20 PM,68
2347167796,3/29/2016 7:06:30 PM,68
2347167796,3/29/2016 7:06:40 PM,68
2347167796,3/29/2016 7:06:50 PM,69
2347167796,3/29/2016 7:07:05 PM,69
2347167796,3/29/2016 7:07:10 PM,70
2347167796,3/29/2016 7:07:20 PM,73
2347167796,3/29/2016 7:07:30 PM,72
2347167796,3/29/2016 7:07:45 PM,72
2347167796,3/29/2016 7:07:50 PM,70
2347167796,3/29/2016 7:07:55 PM,70
2347167796,3/29/2016 7:08:10 PM,69
2347167796,3/29/2016 7:08:20 PM,68
2347167796,3/29/2016 7:08:35 PM,68
2347167796,3/29/2016 7:08:40 PM,69
2347167796,3/29/2016 7:08:50 PM,67
2347167796,3/29/2016 7:09:05 PM,67
2347167796,3/29/2016 7:09:20 PM,67
2347167796,3/29/2016 7:09:30 PM,68
2347167796,3/29/2016 7:09:40 PM,68
2347167796,3/29/2016 7:09:50 PM,69
2347167796,3/29/2016 7:10:00 PM,69
2347167796,3/29/2016 7:10:10 PM,68
2347167796,3/29/2016 7:10:20 PM,69
2347167796,3/29/2016 7:10:30 PM,67
2347167796,3/29/2016 7:10:40 PM,67
2347167796,3/29/2016 7:10:50 PM,68
2347167796,3/29/2016 7:11:00 PM,68
2347167796,3/29/2016 7:11:05 PM,68
2347167796,3/29/2016 7:11:10 PM,67
2347167796,3/29/2016 7:11:25 PM,67
2347167796,3/29/2016 7:11:30 PM,69
2347167796,3/29/2016 7:11:40 PM,70
2347167796,3/29/2016 7:11:50 PM,70
2347167796,3/29/2016 7:12:00 PM,68
2347167796,3/29/2016 7:12:15 PM,68
2347167796,3/29/2016 7:12:30 PM,67
2347167796,3/29/2016 7:12:40 PM,67
2347167796,3/29/2016 7:12:55 PM,67
2347167796,3/29/2016 7:13:00 PM,66
2347167796,3/29/2016 7:13:10 PM,66
2347167796,3/29/2016 7:13:20 PM,67
2347167796,3/29/2016 7:13:30 PM,67
2347167796,3/29/2016 7:13:40 PM,67
2347167796,3/29/2016 7:13:55 PM,67
2347167796,3/29/2016 7:14:00 PM,66
2347167796,3/29/2016 7:14:10 PM,67
2347167796,3/29/2016 7:14:20 PM,67
